StartStation Name,July 5th,August 2nd,July 12th,July 26th,Average Count,July 19th(Heatwave day),Latitude,Longitude,geometry,index_right,NAME,DISTRICT,New Code,Borough,Population and Age; All ages; 2013,Population and Age; Median age; 2013,House Prices; Median House Price; 2014,Household Income; Mean Modelled Household income (); 2012/13,Employment; Economic Activity (Percentages) - 2011 Census; Economically active: % In employment,Road Casualties; Total Casualties; 2014,Land Use; % Greenspace; 2005,Land Use; % Road; 2005,Land Use; % Water; 2005
"Abbey Orchard Street, Westminster",60.0,59.0,86.0,71.0,69.0,45.0,51.498125,-0.132102,POINT (-0.132102 51.498125),166,St. James's,City of Westminster,E05000644,Westminster,11550.0,34.0,1262500.0,90820.0,93.00273806,401.0,20.16906834,23.9956445,8.547961725
"Abingdon Green, Westminster",81.0,68.0,60.0,47.0,64.0,57.0,51.49764,-0.125972,POINT (-0.125972 51.49764),166,St. James's,City of Westminster,E05000644,Westminster,11550.0,34.0,1262500.0,90820.0,93.00273806,401.0,20.16906834,23.9956445,8.547961725
"Allington Street, Victoria",148.0,150.0,131.0,127.0,139.0,81.0,51.496863,-0.142943,POINT (-0.142943 51.496863),166,St. James's,City of Westminster,E05000644,Westminster,11550.0,34.0,1262500.0,90820.0,93.00273806,401.0,20.16906834,23.9956445,8.547961725
"Arundel Street, Temple",23.0,31.0,30.0,39.0,30.75,30.0,51.511726,-0.113855,POINT (-0.113855 51.511726),166,St. James's,City of Westminster,E05000644,Westminster,11550.0,34.0,1262500.0,90820.0,93.00273806,401.0,20.16906834,23.9956445,8.547961725
"Buckingham Gate, Westminster",77.0,89.0,56.0,72.0,73.5,42.0,51.498865,-0.137424,POINT (-0.137424 51.498865),166,St. James's,City of Westminster,E05000644,Westminster,11550.0,34.0,1262500.0,90820.0,93.00273806,401.0,20.16906834,23.9956445,8.547961725
"Butler Place, Westminster",50.0,46.0,63.0,57.0,54.0,42.0,51.497829,-0.13544,POINT (-0.13544 51.497829),166,St. James's,City of Westminster,E05000644,Westminster,11550.0,34.0,1262500.0,90820.0,93.00273806,401.0,20.16906834,23.9956445,8.547961725
"Carey Street, Holborn",23.0,31.0,27.0,23.0,26.0,20.0,51.51501,-0.112753,POINT (-0.112753 51.51501),166,St. James's,City of Westminster,E05000644,Westminster,11550.0,34.0,1262500.0,90820.0,93.00273806,401.0,20.16906834,23.9956445,8.547961725
"Chancery Lane, Holborn",30.0,35.0,41.0,27.0,33.25,23.0,51.514274,-0.111257,POINT (-0.111257 51.514274),166,St. James's,City of Westminster,E05000644,Westminster,11550.0,34.0,1262500.0,90820.0,93.00273806,401.0,20.16906834,23.9956445,8.547961725
"Charles II Street, West End",84.0,61.0,54.0,48.0,61.75,62.0,51.508446,-0.131961,POINT (-0.131961 51.508446),166,St. James's,City of Westminster,E05000644,Westminster,11550.0,34.0,1262500.0,90820.0,93.00273806,401.0,20.16906834,23.9956445,8.547961725
"Craven Street, Strand",130.0,144.0,145.0,133.0,138.0,94.0,51.508103,-0.126021,POINT (-0.126021 51.508103),166,St. James's,City of Westminster,E05000644,Westminster,11550.0,34.0,1262500.0,90820.0,93.00273806,401.0,20.16906834,23.9956445,8.547961725
"Embankment (Savoy), Strand",51.0,61.0,46.0,53.0,52.75,36.0,51.509631,-0.119047,POINT (-0.119047 51.509631),166,St. James's,City of Westminster,E05000644,Westminster,11550.0,34.0,1262500.0,90820.0,93.00273806,401.0,20.16906834,23.9956445,8.547961725
"Green Park Station, Mayfair",125.0,122.0,126.0,104.0,119.25,108.0,51.506613,-0.142844,POINT (-0.142844 51.506613),166,St. James's,City of Westminster,E05000644,Westminster,11550.0,34.0,1262500.0,90820.0,93.00273806,401.0,20.16906834,23.9956445,8.547961725
"Houghton Street, Strand",37.0,24.0,44.0,30.0,33.75,23.0,51.51362,-0.116764,POINT (-0.116764 51.51362),166,St. James's,City of Westminster,E05000644,Westminster,11550.0,34.0,1262500.0,90820.0,93.00273806,401.0,20.16906834,23.9956445,8.547961725
"Kings Gate House, Westminster",39.0,41.0,40.0,37.0,39.25,37.0,51.497698,-0.137598,POINT (-0.137598 51.497698),166,St. James's,City of Westminster,E05000644,Westminster,11550.0,34.0,1262500.0,90820.0,93.00273806,401.0,20.16906834,23.9956445,8.547961725
"Kingsway Southbound, Strand",50.0,45.0,60.0,47.0,50.5,32.0,51.513875,-0.117774,POINT (-0.117774 51.513875),166,St. James's,City of Westminster,E05000644,Westminster,11550.0,34.0,1262500.0,90820.0,93.00273806,401.0,20.16906834,23.9956445,8.547961725
"Kingsway, Covent Garden",24.0,15.0,24.0,27.0,22.5,14.0,51.514409,-0.118478,POINT (-0.118478 51.514409),166,St. James's,City of Westminster,E05000644,Westminster,11550.0,34.0,1262500.0,90820.0,93.00273806,401.0,20.16906834,23.9956445,8.547961725
"Northumberland Avenue, Strand",93.0,104.0,68.0,73.0,84.5,58.0,51.506767,-0.123702,POINT (-0.123702 51.506767),166,St. James's,City of Westminster,E05000644,Westminster,11550.0,34.0,1262500.0,90820.0,93.00273806,401.0,20.16906834,23.9956445,8.547961725
"Pall Mall East, West End",118.0,97.0,105.0,87.0,101.75,86.0,51.50777,-0.130699,POINT (-0.130699 51.50777),166,St. James's,City of Westminster,E05000644,Westminster,11550.0,34.0,1262500.0,90820.0,93.00273806,401.0,20.16906834,23.9956445,8.547961725
