EndStation Name,July 5th,August 2nd,July 12th,July 26th,Average Count,July 19th(Heatwave day),Latitude,Longitude
"Abbey Orchard Street, Westminster",87.0,72.0,70.0,66.0,73.75,58.0,51.498125,-0.132102
"Abbotsbury Road, Holland Park",21.0,19.0,22.0,13.0,18.75,19.0,51.501391,-0.205991
"Aberdeen Place, St. John's Wood",26.0,25.0,21.0,22.0,23.5,25.0,51.524826,-0.176268
"Aberfeldy Street, Poplar",22.0,12.0,31.0,12.0,19.25,13.0,51.513548,-0.005659
"Abingdon Green, Westminster",110.0,76.0,74.0,56.0,79.0,66.0,51.49764,-0.125972
"Abingdon Villas, Kensington",36.0,21.0,33.0,18.0,27.0,33.0,51.497387,-0.197245
"Ackroyd Drive, Bow",32.0,47.0,40.0,34.0,38.25,52.0,51.520398,-0.026768
"Ada Street, Hackney Central",36.0,41.0,49.0,29.0,38.75,44.0,51.535716,-0.060291
"Addison Road, Holland Park",36.0,19.0,25.0,28.0,27.0,19.0,51.504199,-0.210941
"Aintree Street, Fulham",52.0,44.0,51.0,36.0,45.75,42.0,51.481021,-0.209973
"Albany Street, The Regent's Park",43.0,62.0,39.0,63.0,51.75,52.0,51.528302,-0.144466
"Albert Bridge Road, Battersea Park",54.0,43.0,68.0,59.0,56.0,45.0,51.474392,-0.163347
"Albert Embankment, Vauxhall",35.0,56.0,47.0,53.0,47.75,47.0,51.490435,-0.122806
"Albert Gardens, Stepney",31.0,38.0,63.0,33.0,41.25,35.0,51.51328,-0.047784
"Albert Gate, Hyde Park",158.0,299.0,131.0,317.0,226.25,,51.502953,-0.158456
"Albert Square, Stockwell",47.0,55.0,56.0,44.0,50.5,58.0,51.47659,-0.118256
"Alderney Street, Pimlico",73.0,45.0,71.0,69.0,64.5,55.0,51.488057,-0.140741
"Aldersgate Street, Barbican",90.0,74.0,,67.0,77.0,,51.520841,-0.09734
"Alfreda Street, Battersea Park",46.0,42.0,57.0,35.0,45.0,43.0,51.47505,-0.150908
