StartStation Name,July 5th,August 2nd,July 12th,July 26th,Average Count,July 19th(Heatwave day),Latitude,Longitude
"Abbey Orchard Street, Westminster",60.0,59.0,86.0,71.0,69.0,45.0,51.498125,-0.132102
"Abbotsbury Road, Holland Park",19.0,21.0,26.0,11.0,19.25,20.0,51.501391,-0.205991
"Aberdeen Place, St. John's Wood",28.0,25.0,33.0,31.0,29.25,18.0,51.524826,-0.176268
"Aberfeldy Street, Poplar",25.0,10.0,30.0,13.0,19.5,15.0,51.513548,-0.005659
"Abingdon Green, Westminster",81.0,68.0,60.0,47.0,64.0,57.0,51.49764,-0.125972
"Abingdon Villas, Kensington",34.0,29.0,35.0,10.0,27.0,35.0,51.497387,-0.197245
"Ackroyd Drive, Bow",41.0,45.0,36.0,43.0,41.25,48.0,51.520398,-0.026768
"Ada Street, Hackney Central",52.0,30.0,35.0,58.0,43.75,31.0,51.535716,-0.060291
"Addison Road, Holland Park",42.0,18.0,23.0,25.0,27.0,19.0,51.504199,-0.210941
"Aintree Street, Fulham",52.0,50.0,51.0,35.0,47.0,43.0,51.481021,-0.209973
"Albany Street, The Regent's Park",50.0,53.0,62.0,77.0,60.5,51.0,51.528302,-0.144466
"Albert Bridge Road, Battersea Park",50.0,34.0,52.0,61.0,49.25,46.0,51.474392,-0.163347
"Albert Embankment, Vauxhall",43.0,59.0,51.0,43.0,49.0,41.0,51.490435,-0.122806
"Albert Gardens, Stepney",36.0,36.0,68.0,40.0,45.0,26.0,51.51328,-0.047784
"Albert Gate, Hyde Park",136.0,299.0,111.0,320.0,216.5,,51.502953,-0.158456
"Albert Square, Stockwell",47.0,63.0,36.0,42.0,47.0,53.0,51.47659,-0.118256
"Alderney Street, Pimlico",77.0,53.0,73.0,77.0,70.0,68.0,51.488057,-0.140741
"Aldersgate Street, Barbican",93.0,74.0,,69.0,78.66666666666667,,51.520841,-0.09734
"Alfreda Street, Battersea Park",47.0,43.0,54.0,41.0,46.25,48.0,51.47505,-0.150908
"All Saints Church, Portobello",61.0,61.0,64.0,64.0,62.5,59.0,51.51632,-0.202608
"All Saints' Road, Portobello",28.0,39.0,21.0,34.0,30.5,27.0,51.519042,-0.204764
"Allington Street, Victoria",148.0,150.0,131.0,127.0,139.0,81.0,51.496863,-0.142943
"Alma Road, Wandsworth",21.0,17.0,21.0,15.0,18.5,25.0,51.457991,-0.184806
"Alpha Grove, Millwall",23.0,20.0,31.0,19.0,23.25,12.0,51.497304,-0.022793
"Ampton Street , Clerkenwell",26.0,34.0,40.0,29.0,32.25,30.0,51.52728,-0.118295
"Ansell House, Stepney",48.0,77.0,58.0,66.0,62.25,48.0,51.520019,-0.05438
"Antill Road, Mile End",28.0,31.0,39.0,31.0,32.25,29.0,51.528224,-0.037471
"Archbishop's Park, Waterloo",19.0,43.0,45.0,39.0,36.5,34.0,51.498241,-0.117495
"Argyll Road, Kensington",44.0,46.0,49.0,37.0,44.0,27.0,51.500401,-0.195455
"Arlington Road, Camden Town",42.0,33.0,53.0,35.0,40.75,16.0,51.539957,-0.145246
"Arundel Street, Temple",23.0,31.0,30.0,39.0,30.75,30.0,51.511726,-0.113855
"Ashley Crescent, Battersea",48.0,42.0,55.0,43.0,47.0,38.0,51.467185,-0.152248
"Ashley Place, Victoria",84.0,67.0,74.0,53.0,69.5,72.0,51.49616,-0.140947
"Ashmole Estate, Oval",26.0,42.0,40.0,40.0,37.0,34.0,51.482678,-0.117661
"Aston Street, Stepney",32.0,24.0,38.0,25.0,29.75,27.0,51.516,-0.038775
"Austin Road, Battersea Park",59.0,48.0,56.0,50.0,53.25,47.0,51.474376,-0.155442
"Aylward Street, Stepney",29.0,32.0,23.0,27.0,27.75,20.0,51.51563,-0.049067
"BBC White City, White City",38.0,50.0,41.0,44.0,43.25,36.0,51.514767,-0.225787
"Baker Street, Marylebone",70.0,43.0,76.0,66.0,63.75,74.0,51.518913,-0.156166
"Baldwin Street, St. Luke's",60.0,67.0,73.0,58.0,64.5,54.0,51.527025,-0.088542
"Bancroft Road, Bethnal Green",34.0,51.0,33.0,46.0,41.0,24.0,51.526041,-0.047218
"Bank of England Museum, Bank",78.0,106.0,87.0,71.0,85.5,56.0,51.514441,-0.087587
"Bankside Mix, Bankside",63.0,58.0,58.0,73.0,63.0,51.0,51.505817,-0.100186
"Barbican Centre, Barbican",43.0,43.0,59.0,34.0,44.75,43.0,51.520044,-0.092176
"Barons Court Station, West Kensington",45.0,45.0,44.0,66.0,50.0,53.0,51.490217,-0.215087
"Bath Street, St. Luke's",90.0,70.0,71.0,68.0,74.75,63.0,51.525893,-0.090847
"Battersea Church Road, Battersea",50.0,46.0,45.0,46.0,46.75,48.0,51.476964,-0.174347
"Battersea Park Road, Nine Elms",84.0,99.0,78.0,79.0,85.0,88.0,51.479501,-0.14177
"Battersea Power Station, Battersea Park",104.0,93.0,107.0,93.0,99.25,108.0,51.483507,-0.147714
"Bayley Street , Bloomsbury",64.0,58.0,71.0,53.0,61.5,41.0,51.518587,-0.132053
"Baylis Road, Waterloo",111.0,97.0,116.0,92.0,104.0,75.0,51.501444,-0.110699
"Bayswater Road, Hyde Park",70.0,132.0,182.0,112.0,124.0,101.0,51.511933,-0.174411
"Beaumont Street, Marylebone",59.0,51.0,,55.0,55.0,40.0,51.522008,-0.151359
"Bedford Way, Bloomsbury",27.0,15.0,26.0,16.0,21.0,16.0,51.523673,-0.128377
"Belford House, Haggerston",24.0,21.0,15.0,15.0,18.75,26.0,51.536654,-0.07023
"Belgrave Road, Victoria",55.0,59.0,65.0,56.0,58.75,73.0,51.493204,-0.144132
"Belgrave Square, Belgravia",40.0,38.0,35.0,39.0,38.0,37.0,51.499412,-0.152317
