EndStation Name,Average Count,Count,Count Change,Latitude,Longitude
"Abbey Orchard Street, Westminster",73.75,58,-15.75,51.498125,-0.132102
"Abbotsbury Road, Holland Park",18.75,19,0.25,51.501391,-0.205991
"Aberdeen Place, St. John's Wood",23.5,25,1.5,51.524826,-0.176268
"Aberfeldy Street, Poplar",19.25,13,-6.25,51.513548,-0.005659
"Abingdon Green, Westminster",79,66,-13,51.49764,-0.125972
"Abingdon Villas, Kensington",27,33,6,51.497387,-0.197245
"Ackroyd Drive, Bow",38.25,52,13.75,51.520398,-0.026768
"Ada Street, Hackney Central",38.75,44,5.25,51.535716,-0.060291
"Addison Road, Holland Park",27,19,-8,51.504199,-0.210941
"Aintree Street, Fulham",45.75,42,-3.75,51.481021,-0.209973
"Albany Street, The Regent's Park",51.75,52,0.25,51.528302,-0.144466
"Albert Bridge Road, Battersea Park",56,45,-11,51.474392,-0.163347
"Albert Embankment, Vauxhall",47.75,47,-0.75,51.490435,-0.122806
"Albert Gardens, Stepney",41.25,35,-6.25,51.51328,-0.047784
"Albert Square, Stockwell",50.5,58,7.5,51.47659,-0.118256
"Alderney Street, Pimlico",64.5,55,-9.5,51.488057,-0.140741
"Alfreda Street, Battersea Park",45,43,-2,51.47505,-0.150908
"All Saints Church, Portobello",58,49,-9,51.51632,-0.202608
"All Saints' Road, Portobello",27.25,28,0.75,51.519042,-0.204764
"Allington Street, Victoria",135.75,80,-55.75,51.496863,-0.142943
"Alma Road, Wandsworth",19.5,18,-1.5,51.457991,-0.184806
"Alpha Grove, Millwall",24,12,-12,51.497304,-0.022793
"Ampton Street , Clerkenwell",33.25,18,-15.25,51.52728,-0.118295
"Ansell House, Stepney",59.5,45,-14.5,51.520019,-0.05438
"Antill Road, Mile End",29.25,26,-3.25,51.528224,-0.037471
"Archbishop's Park, Waterloo",35,28,-7,51.498241,-0.117495
"Argyll Road, Kensington",42.5,24,-18.5,51.500401,-0.195455
"Arlington Road, Camden Town",34.75,19,-15.75,51.539957,-0.145246
"Arundel Street, Temple",30,28,-2,51.511726,-0.113855
"Ashley Crescent, Battersea",46.75,38,-8.75,51.467185,-0.152248
"Ashley Place, Victoria",65.25,71,5.75,51.49616,-0.140947
"Ashmole Estate, Oval",39.75,44,4.25,51.482678,-0.117661
"Aston Street, Stepney",31.75,27,-4.75,51.516,-0.038775
"Austin Road, Battersea Park",54.5,38,-16.5,51.474376,-0.155442
"Aylward Street, Stepney",23.25,15,-8.25,51.51563,-0.049067
"BBC White City, White City",51,44,-7,51.514767,-0.225787
