StartStation Name,Average Count,Count,Count Change,Latitude,Longitude
"Abbey Orchard Street, Westminster",69,45,-24,51.498125,-0.132102
"Abbotsbury Road, Holland Park",19.25,20,0.75,51.501391,-0.205991
"Aberdeen Place, St. John's Wood",29.25,18,-11.25,51.524826,-0.176268
"Aberfeldy Street, Poplar",19.5,15,-4.5,51.513548,-0.005659
"Abingdon Green, Westminster",64,57,-7,51.49764,-0.125972
"Abingdon Villas, Kensington",27,35,8,51.497387,-0.197245
"Ackroyd Drive, Bow",41.25,48,6.75,51.520398,-0.026768
"Ada Street, Hackney Central",43.75,31,-12.75,51.535716,-0.060291
"Addison Road, Holland Park",27,19,-8,51.504199,-0.210941
"Aintree Street, Fulham",47,43,-4,51.481021,-0.209973
"Albany Street, The Regent's Park",60.5,51,-9.5,51.528302,-0.144466
"Albert Bridge Road, Battersea Park",49.25,46,-3.25,51.474392,-0.163347
"Albert Embankment, Vauxhall",49,41,-8,51.490435,-0.122806
"Albert Gardens, Stepney",45,26,-19,51.51328,-0.047784
"Albert Square, Stockwell",47,53,6,51.47659,-0.118256
"Alderney Street, Pimlico",70,68,-2,51.488057,-0.140741
"Alfreda Street, Battersea Park",46.25,48,1.75,51.47505,-0.150908
"All Saints Church, Portobello",62.5,59,-3.5,51.51632,-0.202608
"All Saints' Road, Portobello",30.5,27,-3.5,51.519042,-0.204764
"Allington Street, Victoria",139,81,-58,51.496863,-0.142943
"Alma Road, Wandsworth",18.5,25,6.5,51.457991,-0.184806
"Alpha Grove, Millwall",23.25,12,-11.25,51.497304,-0.022793
"Ampton Street , Clerkenwell",32.25,30,-2.25,51.52728,-0.118295
"Ansell House, Stepney",62.25,48,-14.25,51.520019,-0.05438
"Antill Road, Mile End",32.25,29,-3.25,51.528224,-0.037471
"Archbishop's Park, Waterloo",36.5,34,-2.5,51.498241,-0.117495
"Argyll Road, Kensington",44,27,-17,51.500401,-0.195455
"Arlington Road, Camden Town",40.75,16,-24.75,51.539957,-0.145246
"Arundel Street, Temple",30.75,30,-0.75,51.511726,-0.113855
"Ashley Crescent, Battersea",47,38,-9,51.467185,-0.152248
"Ashley Place, Victoria",69.5,72,2.5,51.49616,-0.140947
"Ashmole Estate, Oval",37,34,-3,51.482678,-0.117661
"Aston Street, Stepney",29.75,27,-2.75,51.516,-0.038775
"Austin Road, Battersea Park",53.25,47,-6.25,51.474376,-0.155442
"Aylward Street, Stepney",27.75,20,-7.75,51.51563,-0.049067
"BBC White City, White City",43.25,36,-7.25,51.514767,-0.225787
"Baker Street, Marylebone",63.75,74,10.25,51.518913,-0.156166
"Baldwin Street, St. Luke's",64.5,54,-10.5,51.527025,-0.088542
"Bancroft Road, Bethnal Green",41,24,-17,51.526041,-0.047218
"Bank of England Museum, Bank",85.5,56,-29.5,51.514441,-0.087587
"Bankside Mix, Bankside",63,51,-12,51.505817,-0.100186
